ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0072176	nephric duct development	2/28	16/18614	0.00025845487005392	0.0211545355829293	0.0144946982980335	EPHA4/GPC3	2
BP	GO:0060541	respiratory system development	4/28	211/18614	0.000265407457498006	0.0211545355829293	0.0144946982980335	PDGFRB/KDR/GPC3/CRISPLD2	4
BP	GO:0060263	regulation of respiratory burst	2/28	18/18614	0.000328917143763338	0.0247601516555179	0.0169652000467406	INSR/GRN	2
BP	GO:0033674	positive regulation of kinase activity	5/28	430/18614	0.000407273724013536	0.026815748913548	0.0183736574416386	EPHA4/INSR/PDGFRB/KDR/IL23R	5
BP	GO:0072593	reactive oxygen species metabolic process	4/28	237/18614	0.000412562873862161	0.026815748913548	0.0183736574416386	PDGFRB/LPO/HBZ/RAB27A	4
BP	GO:0098869	cellular oxidant detoxification	3/28	99/18614	0.000434063236920503	0.026815748913548	0.0183736574416386	CLIC2/LPO/HBZ	3
BP	GO:0038083	peptidyl-tyrosine autophosphorylation	2/28	21/18614	0.000450196398019266	0.026815748913548	0.0183736574416386	INSR/KDR	2
BP	GO:0015669	gas transport	2/28	22/18614	0.000494755515010111	0.026815748913548	0.0183736574416386	MB/HBZ	2
BP	GO:0035584	calcium-mediated signaling using intracellular calcium source	2/28	22/18614	0.000494755515010111	0.026815748913548	0.0183736574416386	VCAM1/KDR	2
BP	GO:0072111	cell proliferation involved in kidney development	2/28	22/18614	0.000494755515010111	0.026815748913548	0.0183736574416386	PDGFRB/GPC3	2
BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	3/28	112/18614	0.000622554927553465	0.0321561070359547	0.0220327725039519	INSR/PDGFRB/KDR	3
BP	GO:0032693	negative regulation of interleukin-10 production	2/28	25/18614	0.000640748996288396	0.0321561070359547	0.0220327725039519	IL23R/PRG2	2
BP	GO:0043406	positive regulation of MAP kinase activity	3/28	117/18614	0.000706973492396069	0.0338604028359744	0.0232005246077525	EPHA4/INSR/PDGFRB	3
BP	GO:0030510	regulation of BMP signaling pathway	3/28	118/18614	0.000724687588371408	0.0338604028359744	0.0232005246077525	TMPRSS6/KDR/GPC3	3
BP	GO:0043410	positive regulation of MAPK cascade	5/28	495/18614	0.000772010970625681	0.0348691621732599	0.0238917079330474	EPHA4/INSR/PDGFRB/KDR/C1QTNF1	5
BP	GO:0048679	regulation of axon regeneration	2/28	28/18614	0.000805094345601184	0.0351904141383743	0.024111823864864	EPHA4/GRN	2
BP	GO:0042744	hydrogen peroxide catabolic process	2/28	30/18614	0.000924776079912652	0.0391584871338014	0.0268306744237815	LPO/HBZ	2
BP	GO:0070570	regulation of neuron projection regeneration	2/28	31/18614	0.000987635081208378	0.0405528950011319	0.0277860970215563	EPHA4/GRN	2
BP	GO:0042742	defense response to bacterium	4/28	314/18614	0.00118146370130466	0.04708480339023	0.032261640388567	LPO/GRN/IL23R/PRG2	4
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	3/28	144/18614	0.00128904397381856	0.0499044167006899	0.0341935875160291	INSR/PDGFRB/KDR	3
CC	GO:0009897	external side of plasma membrane	5/28	426/19518	0.000314119252343828	0.0364378332718841	0.0274441030995134	CSF2RA/VCAM1/INSR/KDR/IL23R	5
MF	GO:0004714	transmembrane receptor protein tyrosine kinase activity	4/28	60/18369	1.98558840894263e-06	0.000297838261341395	0.000181838096397904	EPHA4/INSR/PDGFRB/KDR	4
MF	GO:0019199	transmembrane receptor protein kinase activity	4/28	77/18369	5.41323735656038e-06	0.000405992801742029	0.000247869289484607	EPHA4/INSR/PDGFRB/KDR	4
MF	GO:0004713	protein tyrosine kinase activity	4/28	137/18369	5.27592413950462e-05	0.00263491460845232	0.00160868470831826	EPHA4/INSR/PDGFRB/KDR	4
MF	GO:0004601	peroxidase activity	3/28	55/18369	7.89110936455047e-05	0.00263491460845232	0.00160868470831826	CLIC2/LPO/HBZ	3
MF	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3/28	57/18369	8.78304869484108e-05	0.00263491460845232	0.00160868470831826	CLIC2/LPO/HBZ	3
MF	GO:0005344	oxygen carrier activity	2/28	14/18369	0.000201603162166513	0.00504007905416284	0.00307710089622573	MB/HBZ	2
MF	GO:0016209	antioxidant activity	3/28	82/18369	0.000259141630705734	0.00540253802084253	0.00329839163377754	CLIC2/LPO/HBZ	3
MF	GO:0001540	amyloid-beta binding	3/28	85/18369	0.000288135361111601	0.00540253802084253	0.00329839163377754	APBB2/EPHA4/INSR	3
MF	GO:0043548	phosphatidylinositol 3-kinase binding	2/28	28/18369	0.000826447642673949	0.0137741273778992	0.00840946724124369	INSR/PDGFRB	2
MF	GO:0019838	growth factor binding	3/28	132/18369	0.00104187713762197	0.0156281570643296	0.0095414011550644	INSR/PDGFRB/KDR	3
MF	GO:0020037	heme binding	3/28	137/18369	0.00115987401360554	0.0158164638218937	0.00965636738599828	MB/LPO/HBZ	3
MF	GO:0046906	tetrapyrrole binding	3/28	147/18369	0.00142048285684989	0.0177560357106236	0.0108405270654333	MB/LPO/HBZ	3
MF	GO:0019825	oxygen binding	2/28	39/18369	0.00160340095517415	0.0185007802520094	0.01129521320649	MB/HBZ	2
MF	GO:0043177	organic acid binding	3/28	212/18369	0.00401363820985156	0.0430032665341238	0.0262546258839914	SHMT1/APOC1/HBZ	3
